RouteId,RouteVarId,StopId,Code,Name,Lat,Lng,Zone,Ward,StopType,Street,Status
10,2,443,Q10 073,Chợ Nhật Tảo,10.765397,106.667702,Quận 10,,Trụ dừng,Nguyễn Tri Phương,Đang khai thác
10,2,446,Q10 074,Học viện Quân y,10.767052,106.667313,Quận 10,,Trụ dừng,Nguyễn Tri Phương,Đang khai thác
10,2,1397,Q10 031,Bệnh viện Nhi Đồng 1,10.767765,106.67038,Quận 10,,Trụ dừng,Lý Thái Tổ,Đang khai thác
10,2,1398,Q10 032,Chợ Phường 10,10.767623,106.673357,Quận 10,,Trụ dừng,Lý Thái Tổ,Đang khai thác
10,2,1909,Q3 020,Ngã 7 Lý Thái Tổ,10.768703,106.675224,Quận 3,Phường 01,Trụ dừng,Điện Biên Phủ,Đang khai thác
10,2,92,Q3 021,Cao Thắng,10.771164,106.67738,Quận 3,Phường 01,Ô sơn,Điện Biên Phủ,Đang khai thác
10,2,1911,Q3 022,Cư Xá Đô Thành,10.773248,106.67981,Quận 3,Phường 04,Trụ dừng,Điện Biên Phủ,Đang khai thác
10,2,1912,Q3 023,Bệnh viện Bình Dân,10.774641,106.68145,Quận 3,,Nhà chờ,Điện Biên Phủ,Đang khai thác
10,2,731,Q3 024,Cách Mạng tháng 8,10.777009,106.684145,Quận 3,,Nhà chờ,Điện Biên Phủ,Đang khai thác
10,2,1913,Q3 025,Bệnh viện Mắt TPHCM,10.778255,106.685471,Quận 3,Phường 07,Ô sơn,Điện Biên Phủ,Đang khai thác
10,2,1917,Q3 026,Sở Khoa học và Công nghệ,10.780286,106.687621,Quận 3,,Nhà chờ,Điện Biên Phủ,Đang khai thác
10,2,1914,Q3 027,Trường Marie Curie,10.782872,106.690369,Quận 3,,Nhà chờ,Điện Biên Phủ,Đang khai thác
10,2,1920,Q3 028,Phạm Ngọc Thạch,10.784965,106.692375,Quận 3,Phường 06,Trụ dừng,Điện Biên Phủ,Đang khai thác
10,2,1915,Q1 008,Công Viên Lê Văn Tám,10.786934,106.694313,Quận 1,,Trụ dừng,Điện Biên Phủ,Đang khai thác
10,2,1924,Q1 009,Đinh Tiên Hoàng,10.789477,106.696783,Quận 1,,Trụ dừng,Điện Biên Phủ,Đang khai thác
10,2,730,QBTH 063,Cầu Điện Biên Phủ,10.795115,106.702518,Quận Bình Thạnh,,Trụ dừng,Điện Biên Phủ,Đang khai thác
10,2,1916,QBTH 062,Trạm Điện Nguyễn Cửu Vân,10.797286,106.704567,Quận Bình Thạnh,,Nhà chờ,Điện Biên Phủ,Đang khai thác
10,2,1918,QBTH 061,Đại học Hồng Bàng,10.799873,106.707528,Quận Bình Thạnh,,Nhà chờ,Điện Biên Phủ,Đang khai thác
10,2,1925,QBTH 060,Vòng xoay Hàng Xanh,10.80108,106.710269,Quận Bình Thạnh,,Nhà chờ,Điện Biên Phủ,Đang khai thác
10,2,476,QBTH 059,Đại học Hutech,10.800827,106.714255,Quận Bình Thạnh,,Ô sơn,Điện Biên Phủ,Đang khai thác
10,2,473,QBTH 058,Khu Du lịch Văn Thánh,10.799531,106.717404,Quận Bình Thạnh,,Nhà chờ,Điện Biên Phủ,Đang khai thác
10,2,475,QBTH 057,Cầu Sài Gòn,10.798525,106.719496,Quận Bình Thạnh,,Trụ dừng,Điện Biên Phủ,Đang khai thác
10,2,477,Q2 071,Cầu Đen,10.799978,106.7342,TP. Thủ Đức - KV1,Phường An Phú,Nhà chờ,Võ Nguyên Giáp,Đang khai thác
10,2,478,Q2 072,Thảo Điền,10.800838,106.738899,TP. Thủ Đức - KV1,,Nhà chờ,Võ Nguyên Giáp,Đang khai thác
10,2,480,Q2 073,Metro Quận 2,10.801532,106.742383,TP. Thủ Đức - KV1,,Nhà chờ,Võ Nguyên Giáp,Đang khai thác
10,2,479,Q2 074,Cát Lái,10.802592,106.748089,TP. Thủ Đức - KV1,,Nhà chờ,Võ Nguyên Giáp,Đang khai thác
10,2,482,Q9 210,Xi măng hà tiên - trạm thu phí,10.820865,106.758655,TP. Thủ Đức - KV2,Phường Phước Long A,Nhà chờ,Võ Nguyên Giáp,Đang khai thác
10,2,481,Q9 211,Ngã 4 Tây Hòa (RMK),10.825972,106.760775,TP. Thủ Đức - KV2,Phường Phước Long A,Nhà chờ,Võ Nguyên Giáp,Đang khai thác
10,2,485,Q9 212,Trạm xây dựng,10.829955,106.76312,TP. Thủ Đức - KV2,Phường Phước Long A,Nhà chờ,Võ Nguyên Giáp,Đang khai thác
10,2,483,Q9 213,Khu QLGTDT số 2,10.831921,106.76415,TP. Thủ Đức - KV2,,Nhà chờ,Võ Nguyên Giáp,Đang khai thác
10,2,1025,Q9 214,Ngã 4 Bình Thái,10.836162,106.76666,TP. Thủ Đức - KV2,Phường Phước Long B,Nhà chờ,Võ Nguyên Giáp,Đang khai thác
